Id,Location,Label,Value,ASCII
1,GoodImg/Bmp/Sample001/img001-00001,1,0,48
2,GoodImg/Bmp/Sample001/img001-00002,1,0,48
3,GoodImg/Bmp/Sample001/img001-00003,1,0,48
4,GoodImg/Bmp/Sample001/img001-00004,1,0,48
5,GoodImg/Bmp/Sample001/img001-00005,1,0,48
6,GoodImg/Bmp/Sample001/img001-00006,1,0,48
7,GoodImg/Bmp/Sample001/img001-00007,1,0,48
8,GoodImg/Bmp/Sample001/img001-00008,1,0,48
9,GoodImg/Bmp/Sample001/img001-00009,1,0,48
10,GoodImg/Bmp/Sample001/img001-00010,1,0,48
11,GoodImg/Bmp/Sample001/img001-00011,1,0,48
12,GoodImg/Bmp/Sample001/img001-00012,1,0,48
13,GoodImg/Bmp/Sample001/img001-00013,1,0,48
14,GoodImg/Bmp/Sample001/img001-00014,1,0,48
15,GoodImg/Bmp/Sample001/img001-00015,1,0,48
16,GoodImg/Bmp/Sample001/img001-00016,1,0,48
17,GoodImg/Bmp/Sample001/img001-00017,1,0,48
18,GoodImg/Bmp/Sample001/img001-00018,1,0,48
19,GoodImg/Bmp/Sample001/img001-00019,1,0,48
20,GoodImg/Bmp/Sample001/img001-00020,1,0,48
21,GoodImg/Bmp/Sample001/img001-00021,1,0,48
22,GoodImg/Bmp/Sample001/img001-00022,1,0,48
23,GoodImg/Bmp/Sample001/img001-00023,1,0,48
24,GoodImg/Bmp/Sample001/img001-00024,1,0,48
25,GoodImg/Bmp/Sample001/img001-00025,1,0,48
26,GoodImg/Bmp/Sample001/img001-00026,1,0,48
27,GoodImg/Bmp/Sample001/img001-00027,1,0,48
28,GoodImg/Bmp/Sample001/img001-00028,1,0,48
29,GoodImg/Bmp/Sample001/img001-00029,1,0,48
30,GoodImg/Bmp/Sample001/img001-00030,1,0,48
31,GoodImg/Bmp/Sample001/img001-00031,1,0,48
32,GoodImg/Bmp/Sample001/img001-00032,1,0,48
33,GoodImg/Bmp/Sample001/img001-00033,1,0,48
34,GoodImg/Bmp/Sample001/img001-00034,1,0,48
35,GoodImg/Bmp/Sample001/img001-00035,1,0,48
36,GoodImg/Bmp/Sample001/img001-00036,1,0,48
37,GoodImg/Bmp/Sample001/img001-00037,1,0,48
38,GoodImg/Bmp/Sample001/img001-00038,1,0,48
39,GoodImg/Bmp/Sample001/img001-00039,1,0,48
40,GoodImg/Bmp/Sample001/img001-00040,1,0,48
41,GoodImg/Bmp/Sample001/img001-00041,1,0,48
42,GoodImg/Bmp/Sample001/img001-00042,1,0,48
43,GoodImg/Bmp/Sample001/img001-00043,1,0,48
44,GoodImg/Bmp/Sample001/img001-00044,1,0,48
45,GoodImg/Bmp/Sample001/img001-00045,1,0,48
46,GoodImg/Bmp/Sample001/img001-00046,1,0,48
47,GoodImg/Bmp/Sample001/img001-00047,1,0,48
48,GoodImg/Bmp/Sample001/img001-00048,1,0,48
49,GoodImg/Bmp/Sample001/img001-00049,1,0,48
50,GoodImg/Bmp/Sample001/img001-00050,1,0,48
51,GoodImg/Bmp/Sample001/img001-00051,1,0,48
52,GoodImg/Bmp/Sample001/img001-00052,1,0,48
53,GoodImg/Bmp/Sample001/img001-00053,1,0,48
54,GoodImg/Bmp/Sample001/img001-00054,1,0,48
55,GoodImg/Bmp/Sample001/img001-00055,1,0,48
56,GoodImg/Bmp/Sample001/img001-00056,1,0,48
57,GoodImg/Bmp/Sample001/img001-00057,1,0,48
58,GoodImg/Bmp/Sample001/img001-00058,1,0,48
59,GoodImg/Bmp/Sample001/img001-00059,1,0,48
60,GoodImg/Bmp/Sample001/img001-00060,1,0,48
61,GoodImg/Bmp/Sample001/img001-00061,1,0,48
62,GoodImg/Bmp/Sample001/img001-00062,1,0,48
63,GoodImg/Bmp/Sample001/img001-00063,1,0,48
64,GoodImg/Bmp/Sample001/img001-00064,1,0,48
65,GoodImg/Bmp/Sample001/img001-00065,1,0,48
